element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ar,18,"=""""","=""""","=""0.288103238""","=""0.000000003""","=""""","=""2.0565e+12""",AA,"=""0.0""","=""(34709779.92)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",,"=""T7771""","=""""",
Ar,18,"=""""","=""""","=""0.291749237""","=""0.000000003""","=""""","=""3.6034e+12""",AA,"=""0.0""","=""(34276010.83)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",,"=""T7771""","=""""",
Ar,18,"=""""","=""""","=""0.291770388""","=""0.000000003""","=""""","=""3.5864e+12""",AA,"=""0.0""","=""(34273526.13)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",,"=""T7771""","=""""",
Ar,18,"=""""","=""""","=""0.298732543""","=""0.000000003""","=""""","=""7.1479e+12""",AA,"=""0.0""","=""(33474759.34)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",,"=""T7771""","=""""",
Ar,18,"=""""","=""""","=""0.298775875""","=""0.000000005""","=""""","=""7.1234e+12""",AA,"=""0.0""","=""(33469904.5)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",,"=""T7771""","=""""",
Ar,17,"=""0.3137""","=""0.0007""","=""0.3128269""","=""0.0000020""","=""0""","=""""",,"=""0.""","=""(31966560)""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""1P*""","=""1""",,"=""""","=""L1845""",
Ar,18,"=""""","=""""","=""0.315022760""","=""0.000000007""","=""""","=""1.7527e+13""",AA,"=""0.0""","=""(31743738.1)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",,"=""T7771""","=""""",
Ar,18,"=""""","=""""","=""0.315137049""","=""0.000000010""","=""""","=""1.7512e+13""",AA,"=""0.0""","=""(31732225.8)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",,"=""T7771""","=""""",
Ar,17,"=""0.3198""","=""0.0005""","=""0.3199687""","=""0.0000020""","=""13""","=""""",,"=""0.""","=""(31253060)""","=""1s2""","=""1S""","=""0""","=""1s.4p""","=""1P*""","=""1""",,"=""""","=""L1845""",
Ar,17,"=""0.3362""","=""0.0003""","=""0.3365617""","=""0.0000005""","=""19""","=""""",,"=""0.""","=""(29712236)""","=""1s2""","=""1S""","=""0""","=""1s.3p""","=""1P*""","=""1""",,"=""""","=""L1845""",
