obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""""","=""""","=""91.2323660""","=""0.0000008""","=""""","=""1.2258e+02""",AAA,"=""0.0000000000""","=""[109610.2232]""","=""1s""","=""2S""","=""1/2""","=""40""","=""""","=""""",,"=""T8637""","=""""",
"=""""","=""""","=""91.2353295""","=""0.0000008""","=""""","=""1.3913e+02""",AAA,"=""0.0000000000""","=""[109606.6628]""","=""1s""","=""2S""","=""1/2""","=""39""","=""""","=""""",,"=""T8637""","=""""",
"=""""","=""""","=""91.2385303""","=""0.0000008""","=""""","=""1.5843e+02""",AAA,"=""0.0000000000""","=""[109602.8177]""","=""1s""","=""2S""","=""1/2""","=""38""","=""""","=""""",,"=""T8637""","=""""",
"=""""","=""""","=""91.2419943""","=""0.0000008""","=""""","=""1.8103e+02""",AAA,"=""0.0000000000""","=""[109598.6566]""","=""1s""","=""2S""","=""1/2""","=""37""","=""""","=""""",,"=""T8637""","=""""",
"=""""","=""""","=""91.2457513""","=""0.0000008""","=""""","=""2.0762e+02""",AAA,"=""0.0000000000""","=""[109594.1439]""","=""1s""","=""2S""","=""1/2""","=""36""","=""""","=""""",,"=""T8637""","=""""",
"=""""","=""""","=""91.2498352""","=""0.0000008""","=""""","=""2.3903e+02""",AAA,"=""0.0000000000""","=""[109589.2390]""","=""1s""","=""2S""","=""1/2""","=""35""","=""""","=""""",,"=""T8637""","=""""",
"=""""","=""""","=""91.2542852""","=""0.0000008""","=""""","=""2.7631e+02""",AAA,"=""0.0000000000""","=""[109583.8949]""","=""1s""","=""2S""","=""1/2""","=""34""","=""""","=""""",,"=""T8637""","=""""",
"=""""","=""""","=""91.2591463""","=""0.0000008""","=""""","=""3.2081e+02""",AAA,"=""0.0000000000""","=""[109578.0577]""","=""1s""","=""2S""","=""1/2""","=""33""","=""""","=""""",,"=""T8637""","=""""",
"=""""","=""""","=""91.2644709""","=""0.0000008""","=""""","=""3.7418e+02""",AAA,"=""0.0000000000""","=""[109571.6647]""","=""1s""","=""2S""","=""1/2""","=""32""","=""""","=""""",,"=""T8637""","=""""",
"=""""","=""""","=""91.2703197""","=""0.0000008""","=""""","=""4.3857e+02""",AAA,"=""0.0000000000""","=""[109564.6431]""","=""1s""","=""2S""","=""1/2""","=""31""","=""""","=""""",,"=""T8637""","=""""",
"=""""","=""""","=""91.2767639""","=""0.0000008""","=""""","=""5.1673e+02""",AAA,"=""0.0000000000""","=""[109556.9077]""","=""1s""","=""2S""","=""1/2""","=""30""","=""""","=""""",,"=""T8637""","=""""",
"=""""","=""""","=""91.2838873""","=""0.0000008""","=""""","=""6.1221e+02""",AAA,"=""0.0000000000""","=""[109548.3584]""","=""1s""","=""2S""","=""1/2""","=""29""","=""""","=""""",,"=""T8637""","=""""",
"=""""","=""""","=""91.2917887""","=""0.0000008""","=""""","=""7.2967e+02""",AAA,"=""0.0000000000""","=""[109538.8768]""","=""1s""","=""2S""","=""1/2""","=""28""","=""""","=""""",,"=""T8637""","=""""",
"=""""","=""""","=""91.3005859""","=""0.0000008""","=""""","=""8.7524e+02""",AAA,"=""0.0000000000""","=""[109528.3223]""","=""1s""","=""2S""","=""1/2""","=""27""","=""""","=""""",,"=""T8637""","=""""",
"=""""","=""""","=""91.3104195""","=""0.0000008""","=""""","=""1.0571e+03""",AAA,"=""0.0000000000""","=""[109516.5267]""","=""1s""","=""2S""","=""1/2""","=""26""","=""""","=""""",,"=""T8637""","=""""",
"=""""","=""""","=""91.3214592""","=""0.0000008""","=""""","=""1.2862e+03""",AAA,"=""0.0000000000""","=""[109503.2875]""","=""1s""","=""2S""","=""1/2""","=""25""","=""""","=""""",,"=""T8637""","=""""",
"=""""","=""""","=""91.3339105""","=""0.0000008""","=""""","=""1.5776e+03""",AAA,"=""0.0000000000""","=""[109488.3592]""","=""1s""","=""2S""","=""1/2""","=""24""","=""""","=""""",,"=""T8637""","=""""",
"=""""","=""""","=""91.3480251""","=""0.0000008""","=""""","=""1.9519e+03""",AAA,"=""0.0000000000""","=""[109471.4416]""","=""1s""","=""2S""","=""1/2""","=""23""","=""""","=""""",,"=""T8637""","=""""",
"=""""","=""""","=""91.3641133""","=""0.0000008""","=""""","=""2.4380e+03""",AAA,"=""0.0000000000""","=""[109452.1650]""","=""1s""","=""2S""","=""1/2""","=""22""","=""""","=""""",,"=""T8637""","=""""",
"=""""","=""""","=""91.3825609""","=""0.0000008""","=""""","=""3.0769e+03""",AAA,"=""0.0000000000""","=""[109430.0696]""","=""1s""","=""2S""","=""1/2""","=""21""","=""""","=""""",,"=""T8637""","=""""",
"=""""","=""""","=""91.4038537""","=""0.0000008""","=""""","=""3.9276e+03""",AAA,"=""0.0000000000""","=""[109404.5776]""","=""1s""","=""2S""","=""1/2""","=""20""","=""""","=""""",,"=""T8637""","=""""",
"=""""","=""""","=""91.4286086""","=""0.0000008""","=""""","=""5.0767e+03""",AAA,"=""0.0000000000""","=""[109374.9555]""","=""1s""","=""2S""","=""1/2""","=""19""","=""""","=""""",,"=""T8637""","=""""",
"=""""","=""""","=""91.4576201""","=""0.0000008""","=""""","=""6.6540e+03""",AAA,"=""0.0000000000""","=""[109340.2604]""","=""1s""","=""2S""","=""1/2""","=""18""","=""""","=""""",,"=""T8637""","=""""",
"=""""","=""""","=""91.4919242""","=""0.0000008""","=""""","=""8.8574e+03""",AAA,"=""0.0000000000""","=""[109299.2642]""","=""1s""","=""2S""","=""1/2""","=""17""","=""""","=""""",,"=""T8637""","=""""",
"=""""","=""""","=""91.5328932""","=""0.0000008""","=""""","=""1.1997e+04""",AAA,"=""0.0000000000""","=""[109250.3433]""","=""1s""","=""2S""","=""1/2""","=""16""","=""""","=""""",,"=""T8637""","=""""",
"=""""","=""""","=""91.5823751""","=""0.0000008""","=""""","=""1.6572e+04""",AAA,"=""0.0000000000""","=""[109191.3154]""","=""1s""","=""2S""","=""1/2""","=""15""","=""""","=""""",,"=""T8637""","=""""",
"=""""","=""""","=""91.6429076""","=""0.0000008""","=""""","=""2.3409e+04""",AAA,"=""0.0000000000""","=""[109119.1917]""","=""1s""","=""2S""","=""1/2""","=""14""","=""""","=""""",,"=""T8637""","=""""",
"=""""","=""""","=""91.7180514""","=""0.0000008""","=""""","=""3.3927e+04""",AAA,"=""0.0000000000""","=""[109029.7913]""","=""1s""","=""2S""","=""1/2""","=""13""","=""""","=""""",,"=""T8637""","=""""",
"=""91.8125""","=""0.0013""","=""91.8129300""","=""0.0000004""","=""5600""","=""5.0659e+04""",AAA,"=""0.0000000000""","=""108917.1209""","=""1s""","=""2S""","=""1/2""","=""12""","=""""","=""""",,"=""T8637""","=""L8834""",
