obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""13.109""","=""13.1091+""","=""""","=""""",,"=""0.0000""","=""762830""","=""4s2.4p6""","=""1S""","=""0""","=""3d9.4s2.4p6.8p""","=""(3/2,1/2)*""","=""1""",,"=""""","=""L3379""",
"=""13.143""","=""13.1430+""","=""""","=""""",,"=""0.0000""","=""760860""","=""4s2.4p6""","=""1S""","=""0""","=""3d9.4s2.4p6.7p""","=""(3/2,1/2)*""","=""1""",,"=""""","=""L3379""",
"=""13.212""","=""13.2120+""","=""""","=""""",,"=""0.0000""","=""756890""","=""4s2.4p6""","=""1S""","=""0""","=""3d9.4s2.4p6.6p""","=""(3/2,1/2)*""","=""1""",,"=""""","=""L3379""",
"=""13.282""","=""13.2820+""","=""""","=""""",,"=""0.0000""","=""752900""","=""4s2.4p6""","=""1S""","=""0""","=""3d9.4s2.4p6.8p""","=""(5/2,3/2)*""","=""1""",,"=""""","=""L3379""",
"=""13.317""","=""13.3170+""","=""""","=""""",,"=""0.0000""","=""750920""","=""4s2.4p6""","=""1S""","=""0""","=""3d9.4s2.4p6.7p""","=""(5/2,3/2)*""","=""1""",,"=""""","=""L3379""",
"=""13.390""","=""13.3899+""","=""""","=""""",,"=""0.0000""","=""746830""","=""4s2.4p6""","=""1S""","=""0""","=""3d9.4s2.4p6.6p""","=""(5/2,3/2)*""","=""1""",,"=""""","=""L3379""",
"=""13.409""","=""13.4090+""","=""""","=""""",,"=""0.0000""","=""745770""","=""4s2.4p6""","=""1S""","=""0""","=""3d9.4s2.4p6.5p""","=""(3/2,1/2)*""","=""1""",,"=""""","=""L3379""",
"=""13.588""","=""13.5881+""","=""""","=""""",,"=""0.0000""","=""735940""","=""4s2.4p6""","=""1S""","=""0""","=""3d9.4s2.4p6.5p""","=""(5/2,3/2)*""","=""1""",,"=""""","=""L3379""",
"=""45.145""","=""45.1451+""","=""""","=""""",,"=""0.0000""","=""221508.""","=""4s2.4p6""","=""1S""","=""0""","=""4s.4p6.19p""","=""(1/2,3/2)*""","=""1""",,"=""""","=""L1526""",
"=""45.156""","=""45.1559+""","=""""","=""""",,"=""0.0000""","=""221455.""","=""4s2.4p6""","=""1S""","=""0""","=""4s.4p6.18p""","=""(1/2,3/2)*""","=""1""",,"=""""","=""L1526""",
"=""45.169""","=""45.1690+""","=""""","=""""",,"=""0.0000""","=""221391.""","=""4s2.4p6""","=""1S""","=""0""","=""4s.4p6.17p""","=""(1/2,3/2)*""","=""1""",,"=""""","=""L1526""",
"=""45.186""","=""45.1861+""","=""""","=""""",,"=""0.0000""","=""221307.""","=""4s2.4p6""","=""1S""","=""0""","=""4s.4p6.16p""","=""(1/2,3/2)*""","=""1""",,"=""""","=""L1526""",
"=""45.207""","=""45.2069+""","=""""","=""""",,"=""0.0000""","=""221205.""","=""4s2.4p6""","=""1S""","=""0""","=""4s.4p6.15p""","=""(1/2,3/2)*""","=""1""",,"=""""","=""L1526""",
