obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""15.710""","=""0.010""","=""15.708""","=""0.010""","=""a""","=""""",,"=""0.000000000""","=""78.93""","=""2p6.3s""","=""2S""","=""1/2""","=""2s.2p6.(2S).3d.4p.(3P*)""","=""2P*""","=""1/2,3/2""",,"=""""","=""L5279""",
"=""15.88""","=""0.02""","=""15.881""","=""0.020""","=""a""","=""""",,"=""0.000000000""","=""78.07""","=""2p6.3s""","=""2S""","=""1/2""","=""2s.2p6.(2S).4s.5p.(3P*)""","=""2P*""","=""1/2,3/2""",,"=""""","=""L5279""",
"=""16.160""","=""0.010""","=""16.158""","=""0.010""","=""a""","=""""",,"=""0.000000000""","=""76.73""","=""2p6.3s""","=""2S""","=""1/2""","=""2s.2p6.(2S).4s.4p.(3P*)""","=""2P*""","=""1/2,3/2""",,"=""""","=""L5279""",
"=""16.670""","=""0.010""","=""16.667""","=""0.011""","=""a""","=""""",,"=""0.000000000""","=""74.39""","=""2p6.3s""","=""2S""","=""1/2""","=""2s.2p6.3p.(3P*).6s""","=""2P*""","=""1/2,3/2""",,"=""""","=""L5279""",
"=""16.770""","=""0.010""","=""16.767""","=""0.011""","=""a""","=""""",,"=""0.000000000""","=""73.94""","=""2p6.3s""","=""2S""","=""1/2""","=""2s.2p6.3p.(3P*).5s""","=""2P*""","=""1/2,3/2""",,"=""""","=""L5279""",
"=""16.820""","=""0.010""","=""16.818""","=""0.011""","=""a""","=""""",,"=""0.000000000""","=""73.72""","=""2p6.3s""","=""2S""","=""1/2""","=""2s.2p6.3p.(3P*).3d""","=""2P*""","=""1/2,3/2""",,"=""""","=""L5279""",
"=""16.910""","=""0.010""","=""16.909""","=""0.009""","=""a""","=""""",,"=""0.000000000""","=""73.32""","=""2p6.3s""","=""2S""","=""1/2""","=""2s.2p6.3p.(1P*).4s""","=""2P*""","=""1/2,3/2""",,"=""""","=""L5279""",
"=""17.060""","=""0.010""","=""17.059""","=""0.009""","=""a""","=""""",,"=""0.000000000""","=""72.68""","=""2p6.3s""","=""2S""","=""1/2""","=""2s.2p6.3p.(3P*).4s""","=""2P*""","=""1/2,3/2""",,"=""""","=""L5279""",
"=""17.870""","=""0.010""","=""17.870""","=""0.010""","=""a""","=""""",,"=""0.000000000""","=""69.38""","=""2p6.3s""","=""2S""","=""1/2""","=""2s.2p6.3s.(3S).4p""","=""2P*""","=""1/2,3/2""",,"=""""","=""L5279""",
